Region,Province,Age_Group,Male,Female,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,20 - 24,79941,80951,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,15 - 19,88482,86211,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,10 - 14,108404,105169,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,5 - 9,117084,111990,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,0 - 4,135552,125915,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,30 - 34,56411,57588,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,70 - 74,4323,4098,,
MIMAROPA REGION,MARINDUQUE,75 - 79,1311,2181,,
MIMAROPA REGION,MARINDUQUE,>= 80,957,2409,,
MIMAROPA REGION,MARINDUQUE,65 - 69,3434,3992,,
MIMAROPA REGION,MARINDUQUE,60 - 64,4679,4904,,
MIMAROPA REGION,MARINDUQUE,55 - 59,5091,5230,,
MIMAROPA REGION,MARINDUQUE,50 - 54,6171,5995,,
MIMAROPA REGION,MARINDUQUE,45 - 49,6362,6069,,
MIMAROPA REGION,MARINDUQUE,40 - 44,6983,6671,,
MIMAROPA REGION,MARINDUQUE,35 - 39,6823,6605,,
MIMAROPA REGION,MARINDUQUE,30 - 34,7106,7068,,
MIMAROPA REGION,MARINDUQUE,25 - 29,7622,7320,,
MIMAROPA REGION,MARINDUQUE,20 - 24,10030,8986,,
MIMAROPA REGION,MARINDUQUE,15 - 19,12884,12144,,
MIMAROPA REGION,MARINDUQUE,10 - 14,13420,12688,,
MIMAROPA REGION,MARINDUQUE,5 - 9,12829,11926,,
MIMAROPA REGION,MARINDUQUE,0 - 4,12290,11190,,
MIMAROPA REGION,MARINDUQUE,70 - 74,2353,3107,,
REGION V (BICOL REGION),MASBATE,5 - 9,59438,55717,,
REGION V (BICOL REGION),MASBATE,0 - 4,56984,53692,,
REGION V (BICOL REGION),MASBATE,60 - 64,12797,13369,,
REGION V (BICOL REGION),MASBATE,>= 80,2703,5396,,
REGION V (BICOL REGION),MASBATE,75 - 79,3326,5323,,
REGION V (BICOL REGION),MASBATE,70 - 74,5405,7178,,
REGION V (BICOL REGION),MASBATE,65 - 69,8770,10147,,
REGION V (BICOL REGION),MASBATE,55 - 59,15616,15544,,
REGION V (BICOL REGION),MASBATE,50 - 54,18446,18398,,
REGION V (BICOL REGION),MASBATE,45 - 49,20482,19569,,
REGION V (BICOL REGION),MASBATE,35 - 39,24186,22282,,
REGION V (BICOL REGION),MASBATE,30 - 34,27571,25293,,
REGION V (BICOL REGION),MASBATE,25 - 29,31325,30468,,
REGION V (BICOL REGION),MASBATE,20 - 24,38199,37044,,
REGION V (BICOL REGION),MASBATE,15 - 19,52630,50510,,
REGION V (BICOL REGION),MASBATE,10 - 14,59255,55958,,
REGION V (BICOL REGION),MASBATE,40 - 44,22529,21181,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,65 - 69,7814,9100,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,60 - 64,10828,11719,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,70 - 74,4933,6564,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,45 - 49,16827,16020,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,>= 80,2556,5151,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,55 - 59,13416,13509,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,75 - 79,3036,4723,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,50 - 54,15728,15281,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,20 - 24,27058,25864,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,35 - 39,18733,17456,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,30 - 34,21548,20045,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,25 - 29,24020,22879,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,15 - 19,30820,29485,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,10 - 14,32035,30015,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,5 - 9,32349,29871,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,0 - 4,30890,29434,,
REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,40 - 44,18316,16928,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,70 - 74,10110,12227,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,45 - 49,42881,41045,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,65 - 69,17969,19634,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,60 - 64,25380,26994,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,55 - 59,31960,32521,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,50 - 54,37474,37425,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,40 - 44,50105,47511,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,0 - 4,91605,86167,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,30 - 34,66675,61445,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,25 - 29,73408,69926,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,20 - 24,77983,75578,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,15 - 19,81886,78648,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,10 - 14,88284,82540,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,5 - 9,93183,85448,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,75 - 79,5202,7480,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,35 - 39,55630,51625,,
REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,>= 80,4454,8221,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,70 - 74,1153,1493,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,>= 80,846,1648,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,5 - 9,8263,7546,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,10 - 14,8658,8054,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,15 - 19,8654,8113,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,20 - 24,7781,6830,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,25 - 29,6934,6151,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,30 - 34,6149,5517,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,35 - 39,5209,4484,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,40 - 44,4499,3950,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,45 - 49,4000,3474,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,50 - 54,3907,3291,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,55 - 59,3326,3045,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,60 - 64,2729,2622,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,65 - 69,2021,2014,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,75 - 79,751,1079,,
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,0 - 4,7058,6549,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",0 - 4,87379,81818,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",75 - 79,4440,8448,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",70 - 74,10541,16204,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",65 - 69,17420,23324,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",60 - 64,27409,33500,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",55 - 59,35414,40272,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",50 - 54,44256,47886,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",45 - 49,50085,51099,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",40 - 44,59096,59199,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",>= 80,3505,10018,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",30 - 34,79429,75242,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",25 - 29,89314,87990,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",20 - 24,89862,89681,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",15 - 19,79738,77741,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",10 - 14,81613,76879,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",5 - 9,86176,80043,,
NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",35 - 39,67126,65638,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",70 - 74,20664,29942,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",65 - 69,35084,45754,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",60 - 64,53773,66564,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",55 - 59,68304,79767,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",50 - 54,86155,95645,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",45 - 49,103203,108282,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",35 - 39,151384,151027,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",20 - 24,182756,183888,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",25 - 29,192423,191428,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",15 - 19,153605,149610,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",10 - 14,165309,154946,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",5 - 9,173862,161942,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",0 - 4,180986,170173,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",>= 80,7767,17895,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",30 - 34,179266,173587,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",75 - 79,9178,16117,,
NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",40 - 44,127841,130302,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",35 - 39,177917,177503,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",55 - 59,88095,101565,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",50 - 54,111320,121421,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",45 - 49,130196,135980,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",40 - 44,155699,159150,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",70 - 74,25688,37597,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",30 - 34,207432,201646,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",25 - 29,225515,224601,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",20 - 24,220287,221296,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",15 - 19,195336,190335,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",10 - 14,215257,199461,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",5 - 9,229328,214089,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",75 - 79,11608,21019,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",>= 80,10259,24520,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",60 - 64,67846,82897,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",65 - 69,43047,57284,,
NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",0 - 4,238993,224738,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",10 - 14,146007,137080,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",15 - 19,138283,131684,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",20 - 24,146016,141618,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",25 - 29,141545,135348,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",30 - 34,127425,119405,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",35 - 39,110506,106482,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",40 - 44,98642,95845,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",45 - 49,82318,80396,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",50 - 54,70354,71364,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",55 - 59,55474,59030,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",60 - 64,42212,46893,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",65 - 69,25954,31769,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",5 - 9,152191,139727,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",0 - 4,153390,141978,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",75 - 79,6390,11154,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",>= 80,4848,11627,,
NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",70 - 74,14498,20959,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,70 - 74,22451,29606,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,65 - 69,38060,44457,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,60 - 64,53497,58514,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,55 - 59,66818,67345,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,50 - 54,76713,75354,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,40 - 44,95352,87030,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,35 - 39,105449,94992,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,30 - 34,118750,107819,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,25 - 29,131933,124804,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,20 - 24,143072,136072,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,15 - 19,161308,154193,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,10 - 14,172506,161357,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,5 - 9,174016,160683,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,0 - 4,165184,154741,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,>= 80,11285,23316,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,75 - 79,13066,21162,,
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,45 - 49,84615,80767,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,0 - 4,74867,69495,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,70 - 74,11129,13253,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,65 - 69,18836,20070,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,60 - 64,24788,25803,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,55 - 59,30698,30746,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,50 - 54,32931,33027,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,45 - 49,36437,35064,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,40 - 44,40042,37236,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,35 - 39,45350,41294,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,30 - 34,52646,47735,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,25 - 29,60130,56748,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,20 - 24,63566,61251,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,15 - 19,70409,68031,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,10 - 14,74887,70601,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,5 - 9,76626,71422,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,75 - 79,6930,9192,,
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,>= 80,6611,10697,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,70 - 74,4342,5440,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,65 - 69,6264,7008,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,60 - 64,8845,8959,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,55 - 59,10960,10959,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,50 - 54,13580,12867,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,45 - 49,15311,14465,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,40 - 44,16422,15373,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,35 - 39,17504,15901,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,30 - 34,19887,17981,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,20 - 24,30856,28214,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,15 - 19,38072,35932,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,10 - 14,39448,36868,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,5 - 9,39560,36780,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,0 - 4,36738,34410,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,75 - 79,2816,4062,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,>= 80,2196,3797,,
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,25 - 29,23503,21675,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,75 - 79,8840,13901,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,0 - 4,114947,107576,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,10 - 14,118680,109847,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,15 - 19,109062,103217,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,20 - 24,104966,99824,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,25 - 29,97757,93426,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,30 - 34,85652,82052,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,35 - 39,77967,75728,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,5 - 9,118661,108913,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,40 - 44,73275,69937,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,45 - 49,64120,61519,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,50 - 54,59148,57333,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,55 - 59,48655,48164,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,60 - 64,38419,39932,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,65 - 69,25882,29057,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,70 - 74,15869,21052,,
REGION III (CENTRAL LUZON),NUEVA ECIJA,>= 80,7347,16026,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,65 - 69,5994,6604,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,60 - 64,8727,8730,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,55 - 59,10684,10235,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,50 - 54,12466,11353,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,45 - 49,13636,12344,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,40 - 44,16103,14248,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,35 - 39,17914,15618,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,15 - 19,24218,23107,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,25 - 29,21175,19496,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,20 - 24,22982,21126,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,10 - 14,25020,23767,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,5 - 9,26100,24044,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,70 - 74,3570,4449,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,0 - 4,23838,22233,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,30 - 34,19509,17500,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,75 - 79,1735,2537,,
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,>= 80,1834,3650,,
MIMAROPA REGION,OCCIDENTAL MINDORO,50 - 54,11476,10759,,
MIMAROPA REGION,OCCIDENTAL MINDORO,25 - 29,19971,19182,,
MIMAROPA REGION,OCCIDENTAL MINDORO,20 - 24,23487,22195,,
MIMAROPA REGION,OCCIDENTAL MINDORO,15 - 19,28443,27118,,
MIMAROPA REGION,OCCIDENTAL MINDORO,10 - 14,31434,28894,,
MIMAROPA REGION,OCCIDENTAL MINDORO,5 - 9,31779,29322,,
MIMAROPA REGION,OCCIDENTAL MINDORO,0 - 4,30098,27929,,
MIMAROPA REGION,OCCIDENTAL MINDORO,40 - 44,15121,13714,,
MIMAROPA REGION,OCCIDENTAL MINDORO,30 - 34,17844,16518,,
MIMAROPA REGION,OCCIDENTAL MINDORO,45 - 49,13414,12365,,
MIMAROPA REGION,OCCIDENTAL MINDORO,35 - 39,16507,15348,,
MIMAROPA REGION,OCCIDENTAL MINDORO,>= 80,1472,2642,,
MIMAROPA REGION,OCCIDENTAL MINDORO,75 - 79,1779,2352,,
MIMAROPA REGION,OCCIDENTAL MINDORO,70 - 74,3218,3954,,
MIMAROPA REGION,OCCIDENTAL MINDORO,65 - 69,4957,5335,,
MIMAROPA REGION,OCCIDENTAL MINDORO,60 - 64,7319,7311,,
MIMAROPA REGION,OCCIDENTAL MINDORO,55 - 59,9425,8762,,
MIMAROPA REGION,ORIENTAL MINDORO,15 - 19,47845,45649,,
MIMAROPA REGION,ORIENTAL MINDORO,5 - 9,50999,47118,,
MIMAROPA REGION,ORIENTAL MINDORO,25 - 29,35987,34965,,
MIMAROPA REGION,ORIENTAL MINDORO,30 - 34,31775,31019,,
MIMAROPA REGION,ORIENTAL MINDORO,0 - 4,47829,44697,,
MIMAROPA REGION,ORIENTAL MINDORO,35 - 39,29023,27631,,
MIMAROPA REGION,ORIENTAL MINDORO,50 - 54,20764,20061,,
MIMAROPA REGION,ORIENTAL MINDORO,10 - 14,51307,48460,,
MIMAROPA REGION,ORIENTAL MINDORO,20 - 24,40859,39151,,
MIMAROPA REGION,ORIENTAL MINDORO,45 - 49,23870,22435,,
MIMAROPA REGION,ORIENTAL MINDORO,60 - 64,13889,14771,,
MIMAROPA REGION,ORIENTAL MINDORO,65 - 69,9527,10873,,
MIMAROPA REGION,ORIENTAL MINDORO,70 - 74,5648,7877,,
MIMAROPA REGION,ORIENTAL MINDORO,75 - 79,2934,4947,,
MIMAROPA REGION,ORIENTAL MINDORO,>= 80,2455,5623,,
MIMAROPA REGION,ORIENTAL MINDORO,55 - 59,17165,17061,,
MIMAROPA REGION,ORIENTAL MINDORO,40 - 44,27027,25420,,
MIMAROPA REGION,PALAWAN,55 - 59,21828,19862,,
MIMAROPA REGION,PALAWAN,50 - 54,25702,23489,,
MIMAROPA REGION,PALAWAN,45 - 49,30831,27555,,
MIMAROPA REGION,PALAWAN,40 - 44,35774,32215,,
MIMAROPA REGION,PALAWAN,35 - 39,41040,37537,,
MIMAROPA REGION,PALAWAN,20 - 24,61825,59269,,
MIMAROPA REGION,PALAWAN,15 - 19,66416,64293,,
MIMAROPA REGION,PALAWAN,10 - 14,70817,66165,,
MIMAROPA REGION,PALAWAN,5 - 9,72120,67834,,
MIMAROPA REGION,PALAWAN,0 - 4,67338,62799,,
MIMAROPA REGION,PALAWAN,25 - 29,53326,51398,,
MIMAROPA REGION,PALAWAN,30 - 34,45517,42511,,
